station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
BDL,12/1/2018 2:00,-72.6825,41.9381,,,,290,4,,30.12,,10,,CLR,,,,,,,,,,,,,,,,KBDL 010700Z AUTO 29004KT 10SM CLR M02/M02 A3012 RMK T10201020 MADISHF
BDL,12/1/2018 2:05,-72.6825,41.9381,,,,290,4,,30.12,,10,,CLR,,,,,,,,,,,,,,,,KBDL 010705Z AUTO 29004KT 10SM CLR M02/M02 A3012 RMK T10201020 MADISHF
BDL,12/1/2018 2:10,-72.6825,41.9381,,,,290,3,,30.12,,10,,CLR,,,,,,,,,,,,,,,,KBDL 010710Z AUTO 29003KT 10SM CLR M02/M02 A3012 RMK T10201020 MADISHF
BDL,12/1/2018 2:15,-72.6825,41.9381,,,,280,3,,30.12,,10,,CLR,,,,,,,,,,,,,,,,KBDL 010715Z AUTO 28003KT 10SM CLR M02/M02 A3012 RMK T10201020 MADISHF
BDL,12/1/2018 2:20,-72.6825,41.9381,,,,290,3,,30.12,,10,,CLR,,,,,,,,,,,,,,,,KBDL 010720Z AUTO 29003KT 10SM CLR M03/M03 A3012 RMK T10301030 MADISHF
BDL,12/1/2018 2:25,-72.6825,41.9381,,,,290,4,,30.13,,10,,CLR,,,,,,,,,,,,,,,,KBDL 010725Z AUTO 29004KT 10SM CLR M03/M03 A3012 RMK T10301030 MADISHF
BDL,12/1/2018 2:30,-72.6825,41.9381,,,,290,3,,30.12,,9,,CLR,,,,,,,,,,,,,,,,KBDL 010730Z AUTO 29003KT 9SM CLR M03/M03 A3012 RMK T10301030 MADISHF
BDL,12/1/2018 2:35,-72.6825,41.9381,,,,290,3,,30.12,,9,,CLR,,,,,,,,,,,,,,,,KBDL 010735Z AUTO 29003KT 9SM CLR M03/M03 A3012 RMK T10301030 MADISHF
BDL,12/1/2018 2:40,-72.6825,41.9381,,,,0,0,,30.12,,9,,CLR,,,,,,,,,,,,,,,,KBDL 010740Z AUTO 00000KT 9SM CLR M03/M03 A3012 RMK T10301030 MADISHF
BDL,12/1/2018 2:45,-72.6825,41.9381,,,,240,3,,30.12,,7,,CLR,,,,,,,,,,,,,,,,KBDL 010745Z AUTO 24003KT 7SM CLR M03/M03 A3012 RMK T10301030 MADISHF
BDL,12/1/2018 2:50,-72.6825,41.9381,,,,0,0,,30.12,,10,,CLR,,,,,,,,,,,,,,,,KBDL 010750Z AUTO 00000KT 10SM CLR M03/M03 A3012 RMK T10301030 MADISHF
BDL,12/1/2018 2:51,-72.6825,41.9381,27,27,100,240,3,0,30.12,1020.1,10,,CLR,,,,,,,,,,,,,,,22.97,KBDL 010751Z 24003KT 10SM CLR M03/M03 A3012 RMK AO2 SLP201 T10281028
BDL,12/1/2018 2:55,-72.6825,41.9381,,,,250,3,,30.12,,6,,CLR,,,,,,,,BR,,,,,,,,KBDL 010755Z AUTO 25003KT 6SM BR CLR M03/M03 A3012 RMK T10301030 VIS 2 1/2 RWY 6-24  MADISHF
